"","x"
"1","N0.HOG0003291"
"2","N0.HOG0008105"
"3","N0.HOG0011633"
"4","N0.HOG0019298"
"5","N0.HOG0006526"
"6","N0.HOG0011575"
"7","N0.HOG0019332"
"8","N0.HOG0011602"
"9","N0.HOG0011639"
"10","N0.HOG0008085"
"11","N0.HOG0011635"
"12","N0.HOG0011614"
"13","N0.HOG0006320"
"14","N0.HOG0015655"
"15","N0.HOG0001365"
"16","N0.HOG0011625"
"17","N0.HOG0006530"
"18","N0.HOG0004530"
"19","N0.HOG0011596"
"20","N0.HOG0006518"
"21","N0.HOG0019296"
"22","N0.HOG0006318"
"23","N0.HOG0001264"
"24","N0.HOG0011640"
"25","N0.HOG0016132"
"26","N0.HOG0004540"
"27","N0.HOG0019316"
"28","N0.HOG0002201"
"29","N0.HOG0015468"
"30","N0.HOG0006575"
"31","N0.HOG0001687"
"32","N0.HOG0019565"
"33","N0.HOG0001796"
"34","N0.HOG0019553"
"35","N0.HOG0003358"
"36","N0.HOG0016924"
"37","N0.HOG0008762"
"38","N0.HOG0016667"
"39","N0.HOG0012717"
"40","N0.HOG0006585"
"41","N0.HOG0012484"
"42","N0.HOG0001649"
"43","N0.HOG0016517"
"44","N0.HOG0012631"
"45","N0.HOG0012237"
"46","N0.HOG0016564"
"47","N0.HOG0016563"
"48","N0.HOG0008842"
"49","N0.HOG0021651"
"50","N0.HOG0002439"
"51","N0.HOG0012789"
"52","N0.HOG0012233"
"53","N0.HOG0012286"
"54","N0.HOG0008599"
"55","N0.HOG0000730"
"56","N0.HOG0008418"
"57","N0.HOG0012648"
"58","N0.HOG0006503"
"59","N0.HOG0008741"
"60","N0.HOG0006578"
"61","N0.HOG0004658"
"62","N0.HOG0016699"
"63","N0.HOG0006546"
"64","N0.HOG0004489"
"65","N0.HOG0012405"
"66","N0.HOG0008833"
"67","N0.HOG0003471"
"68","N0.HOG0002805"
"69","N0.HOG0012356"
"70","N0.HOG0012258"
"71","N0.HOG0008869"
"72","N0.HOG0004684"
"73","N0.HOG0008471"
"74","N0.HOG0012300"
"75","N0.HOG0012755"
"76","N0.HOG0008578"
"77","N0.HOG0001782"
"78","N0.HOG0004704"
"79","N0.HOG0004665"
"80","N0.HOG0011480"
